word
Brazilian tapir
Guerza
Glider, sugar
Asian elephant
Horned rattlesnake
Indian jackal
Eleven-banded armadillo (unidentified)
Bulbul, black-eyed
Savanna fox
Violet-eared waxbill
Horned rattlesnake
Brown capuchin
Thrasher, curve-billed
Puffin, horned
Rhesus monkey
Jacana, african
Wildebeest, blue
Mountain lion
Dunnart, fat-tailed
Macaw, scarlet
Water monitor
Parakeet, rose-ringed
Red and blue macaw
Leadbeateri's ground hornbill
Stork, black-necked
Steenbok
Four-striped grass mouse
Eagle, tawny
Lapwing (unidentified)
Common brushtail possum
Mexican beaded lizard
Macaw, blue and yellow
Baleen whale
Blue and gold macaw
Large-eared bushbaby
Skink, blue-tongued
Purple moorhen
Baboon, yellow
Japanese macaque
Common grenadier
White-winged dove
Monkey, bleeding heart
Red sheep
Albatross, galapagos
Malay squirrel (unidentified)
Black-faced kangaroo
Stanley bustard
African polecat
Dusky rattlesnake
Red brocket
Crane, sarus
Squirrel, african bush
White-browed owl
Hen, sage
Viper, egyptian
Macaw, scarlet
Stork, white
Sandhill crane
Honey badger
Legaan, water
Wolf spider
Buffalo, asian water
Mudskipper (unidentified)
Baboon, olive
Russian dragonfly
Mongoose, banded
Galapagos dove
Thirteen-lined squirrel
Corella, long-billed
Rhesus monkey
Baboon, olive
Iguana, common green
White-necked raven
Guerza
Tortoise, desert
Bushpig
African ground squirrel (unidentified)
South American meadowlark (unidentified)
American black bear
Galapagos sea lion
Fork-tailed drongo
Greater rhea
Bird, bare-faced go away
Zorilla
Monitor, water
Mongoose, yellow
Bird, pied butcher
White-necked stork
Frogmouth, tawny
Field flicker
Heron, black-crowned night
Peregrine falcon
Mongoose, javan gold-spotted
Comb duck
Mourning collared dove
Wallaby, bennett's
Gull, lava
Adouri (unidentified)
Hawk, ferruginous
Stork, greater adjutant
Penguin, magellanic
Civet (unidentified)
Squirrel, grey-footed
Squirrel glider
Catfish, blue
Carpet snake
Kangaroo, eastern grey
Pine squirrel
Rhinoceros, black
Gray langur
Black curlew
Jackal, silver-backed
Capuchin, black-capped
Waxbill, violet-eared
Fisher
Fox, pampa gray
Macaque, pig-tailed
Southern white-crowned shrike
Common nighthawk
Northern phalarope
Red howler monkey
Crowned hawk-eagle
Canadian tiger swallowtail butterfly
Banded mongoose
Hornbill, southern ground
White-necked stork
Pine squirrel
Blue-tongued lizard
Laughing dove
Whale, southern right
Woolly-necked stork
Toddy cat
Common brushtail possum
Blesbok
Trotter, lily
Cape clawless otter
Wallaby, bennett's
Desert spiny lizard
Gambel's quail
Frogmouth, tawny
Egyptian vulture
Asian lion
Hyena, striped
Deer, mule
Starling, greater blue-eared
Godwit, hudsonian
Golden eagle
Red-headed woodpecker
Bobcat
Black-backed jackal
White-tailed jackrabbit
Swan, trumpeter
Owl, burrowing
Bear, american black
Monitor lizard (unidentified)
White rhinoceros
Genoveva
Ornate rock dragon
Asian water buffalo
Vulture, lappet-faced
Lion, steller's sea
White-browed owl
Mandras tree shrew
Turkey, australian brush
Brocket, brown
Kangaroo, black-faced
Antelope ground squirrel
Oryx, fringe-eared
Phascogale, brush-tailed
Nutcracker, clark's
Pale-throated three-toed sloth
Polar bear
Shrew, mandras tree
Dusky gull
Skua, great
Coqui partridge
Turtle (unidentified)
Red phalarope
Red-billed hornbill
Anteater, australian spiny
North American beaver
Bent-toed gecko
Heron, giant
Skua, long-tailed
Roan antelope
American marten
Barbet, black-collared
Dragon, netted rock
Indian mynah
Golden eagle
Long-billed corella
Eastern boa constrictor
Nyala
Toucan, red-billed
Waterbuck, common
Goose, egyptian
Turtle, snake-necked
Snowy sheathbill
Common melba finch
Nutcracker, clark's
Black bear
Northern fur seal
Frilled dragon
Greater sage grouse
Camel, dromedary
Spoonbill, european
Southern elephant seal
Black bear
Neotropic cormorant
Gerbil (unidentified)
Pocket gopher (unidentified)
Eland, common
Canada goose
Dove, white-winged
Duiker, gray
Small-spotted genet
Bison, american
Short-nosed bandicoot
Wattled crane
Squirrel, pine
Pelican, brown
Burmese brown mountain tortoise
Kangaroo, brush-tailed rat
White-throated toucan
Devil, tasmanian
Booby, masked
Monkey, rhesus
Gila monster
Porcupine, indian
Common green iguana
Rhinoceros, white
Gull, swallow-tail
Lesser mouse lemur
Coqui francolin
Two-banded monitor
Campo flicker
Flicker, field
Common turkey
Skunk, western spotted
White-tailed jackrabbit
Hyena, striped
Emu
Malagasy ground boa
Wambenger, red-tailed
Sheep, stone
Guanaco
Weeper capuchin
Squirrel, eastern fox
African wild dog
Burmese black mountain tortoise
Constrictor, eastern boa
Ostrich
Stork, black-necked
Cape clawless otter
Lesser double-collared sunbird
Black-tailed deer
Land iguana
Vulture, lappet-faced
Cape starling
Brown capuchin
Giant otter
Squirrel, indian giant
Boat-billed heron
Australian pelican
African bush squirrel
Common green iguana
Bird, red-billed tropic
Common nighthawk
Chestnut weaver
Galapagos penguin
Pacific gull
Blue-breasted cordon bleu
Four-horned antelope
Galapagos albatross
Andean goose
Ring-tailed possum
Pintail, bahama
Glider, squirrel
Andean goose
Gecko (unidentified)
Platypus
Springbuck
Little brown bat
Monitor lizard (unidentified)
Iguana, land
Squirrel, smith's bush
Peregrine falcon
Trumpeter swan
Southern white-crowned shrike
Numbat
Southern elephant seal
Eurasian beaver
Phascogale, brush-tailed
Phascogale, brush-tailed
Ibis, glossy
Bird, pied butcher
Pie, rufous tree
Turaco, violet-crested
Skua, great
Cat, ringtail
California sea lion
Asian foreset tortoise
Southern hairy-nosed wombat
Dolphin, striped
Blue shark
African fish eagle
Gemsbok
Emerald green tree boa
Stork, saddle-billed
Dove, galapagos
Columbian rainbow boa
Quoll, eastern
Bustard, stanley
Sloth, hoffman's
Feathertail glider
Bear, polar
Indian jackal
Deer, white-tailed
African buffalo
Cat, african wild
South American sea lion
White-winged tern
Quail, gambel's
Stork, white
Ring-tailed coatimundi
Swainson's francolin
Topi
South American meadowlark (unidentified)
Grizzly bear
Skimmer, four-spotted
Asian water buffalo
Fowl, helmeted guinea
Pigeon, feral rock
Pelican, eastern white
Beisa oryx
Boat-billed heron
Yellow-brown sungazer
Common brushtail possum
Cape Barren goose
Hartebeest, coke's
Four-spotted skimmer
Flamingo, greater
African clawless otter
Pronghorn
Blue fox
Woodpecker, downy
Gaur
Porcupine, african
Catfish, blue
African pied wagtail
Topi
Snowy sheathbill
Cheetah
Gorilla, western lowland
Snake, racer
Squirrel, malabar
Sugar glider
Bird, pied butcher
Banded mongoose
Heron, yellow-crowned night
Harbor seal
Knob-nosed goose
Weaver, red-billed buffalo
Fairy penguin
Robin, kalahari scrub
Meerkat, red
Denham's bustard
White-eye, pale
Owl, madagascar hawk
Prairie falcon
Cape cobra
Blackbird, red-winged
Common green iguana
White-tailed jackrabbit
Blackbuck
Cat, cape wild
Monitor, white-throated
Sandhill crane
Pigeon, wood
Crow, american
Heron, goliath
Agouti
Jackal, asiatic
Black-tailed deer
Nubian bee-eater
Black-throated cardinal
Starling, red-shouldered glossy
Gull, southern black-backed
Waxbill, blue
Carpet python
Kangaroo, black-faced
Cougar
American buffalo
Clark's nutcracker
Ocelot
Badger, eurasian
Rat, white-faced tree
Malachite kingfisher
Cape white-eye
Weaver, white-browed sparrow
Paca
Otter, north american river
Topi
Netted rock dragon
Killer whale
Blue and yellow macaw
Mexican beaded lizard
Native cat
Trotter, lily
Savannah deer
Sunbird, lesser double-collared
Brown hyena
Insect, stick
Sacred ibis
White-faced whistling duck
Mara
Cockatoo, red-tailed
Pine siskin
Fox, bat-eared
Gull, lava
Lion, steller's sea
Waxbill, blue
Beaver, north american
Coyote
Red kangaroo
Galapagos albatross
Eagle, bald
Gray rhea
Tailless tenrec
Bear, american black
Stanley crane
Yellow-crowned night heron
Yellow-bellied marmot
Red-necked wallaby
Turtle, eastern box
Egret, cattle
Bulbul, black-eyed
Bulbul, black-fronted
Dove, mourning collared
Peregrine falcon
Gull, lava
Creeper, black-tailed tree
Common eland
Drongo, fork-tailed
Magnificent frigate bird
Stork, greater adjutant
Trumpeter swan
Antelope, roan
Hawk, red-tailed
Gelada baboon
Southern tamandua
Bird, bare-faced go away
Armadillo, nine-banded
Swallow-tail gull
Mongoose, eastern dwarf
Ibis, puna
Stork, black-necked
Cat, ringtail
Lion, mountain
Pine squirrel
Snake, green vine
African pied wagtail
Bandicoot, short-nosed
Kingfisher, malachite
Hippopotamus
Heron, grey
Pale white-eye
Waterbuck, common
Mule deer
Penguin, galapagos
Black-tailed prairie dog
Common mynah
Squirrel, pine
Mule deer
Sidewinder
Heron, striated
Turkey vulture
Duck, mountain
Lion, galapagos sea
Three-banded plover
Campo flicker
Squirrel, malabar
Cockatoo, roseate
Sunbird, lesser double-collared
Helmeted guinea fowl
White-throated monitor
Egret, great
Western patch-nosed snake
Oryx, fringe-eared
Guanaco
Ovenbird
Gambel's quail
Crow, pied
Hartebeest, red
Caiman, spectacled
White-browed owl
Seal, southern elephant
Caiman, spectacled
Screamer, crested
Creeper, black-tailed tree
